chr	A5SS1	A5SS2	A3SS	gene	strand	diff
2	11314985	11315020	11314742	AT2G26590	-	0.1899020031
2	11764714	11764768	11764604	AT2G27530	-	0.0680262089
2	12357449	12357453	12357144	AT2G28800	-	0.0303193858
2	12675644	12675699	12675568	AT2G29650	-	0.1230776843
2	12752974	12753057	12752839	AT2G29910	-	0.3892669151
2	13190157	13190323	13189762	AT2G30990	-	0.2582814083
2	14897216	14897438	14897107	AT2G35390	-	-0.1070108042
2	15143475	15143478	15143351	AT2G36060	-	0.1002893416
2	16033727	16033742	16033654	AT2G38280	-	-0.2011850052
2	16571180	16571191	16571066	AT2G39730	-	-0.2397589348
2	18190429	18190561	18190340	AT2G43920	-	-0.2485630333
3	101514	101532	101356	AT3G01310	-	-0.2679206803
3	128880	128892	128483	AT3G01340	-	0.1343739536
3	999821	999841	999718	AT3G03890	-	-0.14306403
3	1642849	1642890	1642265	AT3G05640	-	0.3234512559
3	2326719	2326725	2326220	AT3G07300	-	-0.293703419
3	2394568	2394574	2394486	AT3G07510	-	0.1820349633
3	3170842	3170892	3170449	AT3G10250	-	-0.3501834522
3	4220273	4220289	4220100	AT3G13120	-	0.0878268008
3	4692927	4692931	4692688	AT3G14150	-	0.3698608169
3	7006706	7006734	7006635	AT3G20070	-	0.5688706041
3	11978927	11979358	11978842	AT3G30390	-	-0.0737201703
3	14760429	14760538	14760131	AT3G42670	-	0.5988318765
3	17248518	17248615	17248395	AT3G46830	-	-0.1145636884
3	19495266	19495269	19495028	AT3G52560	-	0.1247467104
3	21114162	21114207	21114059	AT3G57050	-	0.2228698548
3	21275500	21275592	21275405	AT3G57470	-	-0.2729533593
3	21935804	21935812	21935624	AT3G59360	-	-0.3194626799
3	23434944	23434950	23434825	AT3G63460	-	0.4674456153
4	6249105	6249116	6248662	AT4G09980	-	-0.4379109177
4	6722029	6722138	6721885	AT4G10970	-	-0.2552351829
4	9785984	9785996	9785903	AT4G17570	-	-0.6084964585
4	12567238	12567251	12567144	AT4G24230	-	0.2181094171
4	13346388	13346405	13346067	AT4G26400	-	-0.3317578726
4	13435596	13435652	13434925	AT4G26630	-	0.2160152702
4	13937258	13937285	13936536	AT4G28025	-	0.1271793157
4	15155467	15155576	15155118	AT4G31170	-	-0.2303371328
4	15879538	15879546	15879418	AT4G32900	-	-0.1265997346
4	17974505	17974519	17974419	AT4G38380	-	-0.4502592407
4	18274315	18274417	18274185	AT4G39260	-	-0.1692359839
4	18561989	18561993	18561884	AT4G40050	-	-0.4406550647
5	2055286	2055367	2055047	AT5G06670	-	-0.5328790746
5	3452076	3452085	3451575	AT5G10940	-	0.2457419858
5	5580659	5580778	5580469	AT5G16980	-	0.1980606493
5	6196327	6196336	6196207	AT5G18620	-	-0.6797052897
5	13525621	13525642	13525279	AT5G35330	-	0.3282000384
5	14975878	14975902	14975574	AT5G37690	-	0.3200006806
5	17187282	17187297	17187201	AT5G42870	-	0.239561674
5	17220362	17220386	17219258	AT5G42940	-	0.161096428
5	17994335	17994560	17994240	AT5G44610	-	-0.5107030075
5	23203318	23203348	23203152	AT5G57270	-	0.2175207034
5	24291672	24292086	24291577	AT5G60400	-	-0.0783766025
5	24604075	24604081	24603983	AT5G61150	-	0.2190847617
5	24654770	24654796	24653752	AT5G61300_and_AT5G61310	-	0.2419136281
5	24654770	24654845	24653752	AT5G61300_and_AT5G61310	-	0.1677756179
1	813581	813604	813929	AT1G03310	+	-0.2713843653
1	2238176	2238307	2238390	AT1G07280	+	-0.175560339
1	2379729	2379798	2380104	AT1G07700	+	0.2773992903
1	2712985	2713010	2713096	AT1G08570	+	-0.0980943204
1	6550669	6550681	6550763	AT1G18950	+	-0.7850327767
1	8028015	8028059	8028132	AT1G22690	+	-0.0337773527
1	9611876	9612429	9612590	AT1G27630	+	-0.2384381675
1	10134536	10134581	10134686	AT1G29040_and_AT1G29041	+	-0.1958914035
1	10134777	10134797	10135051	AT1G29040_and_AT1G29041	+	0.2243280569
1	10741080	10741089	10741237	AT1G30410	+	-0.234115611
1	10876880	10876889	10877056	AT1G30660	+	-0.7110895037
1	10887827	10887850	10888276	AT1G30690	+	-0.1112566472
1	13078915	13078929	13079305	AT1G35515_and_AT1G35516	+	-0.1766520058
1	16617231	16617492	16617612	AT1G43850	+	-0.1937722376
1	20274535	20274561	20274642	AT1G54310	+	-0.1460131659
1	20860710	20860831	20861271	AT1G55810	+	0.2849817156
1	21256371	21256395	21256735	AT1G56690_and_AT1G56700	+	-0.131697959
1	22046226	22046241	22046502	AT1G59890	+	0.3713942134
1	25375712	25375726	25375804	AT1G67700	+	-0.2568373866
1	25866864	25866882	25866962	AT1G68820	+	-0.2750922913
1	26622786	26622797	26622941	AT1G70610	+	-0.2477719115
1	27439930	27439973	27440072	AT1G72930	+	-0.1060168621
1	29293272	29293278	29293401	AT1G77890_and_AT1G77910	+	0.6023291182
1	29792210	29792228	29792309	AT1G79190	+	-0.6030391521
1	30181053	30181077	30181232	AT1G80270	+	-0.438893087
1	30411603	30411680	30411749	AT1G80940	+	-0.2294796545
2	1646031	1646066	1646155	AT2G04690	+	-0.2256212149
2	1679886	1679909	1680015	AT2G04790	+	0.3048899475
2	2068646	2068651	2068738	AT2G05590	+	-0.1847458374
2	7341210	7341247	7341489	AT2G16930	+	-0.2696330688
2	7606823	7606870	7606944	AT2G17500	+	0.4082309166
2	8584261	8584264	8584469	AT2G19880	+	0.2361979018
2	10300180	10300184	10300595	AT2G24220	+	0.3880907415
2	12586522	12586562	12586657	AT2G29290	+	0.0843775868
2	13729206	13729242	13729567	AT2G32320	+	-0.3198397675
2	14709808	14709812	14709931	AT2G34860	+	0.0303217384
2	16569515	16569583	16570063	AT2G39725	+	-0.1871227486
2	19002161	19002230	19002322	AT2G46270	+	-0.3582432818
2	19537255	19537260	19537350	AT2G47640	+	-0.0799542711
3	1355275	1355277	1355718	AT3G04910	+	0.1522383627
3	1539728	1539763	1540550	AT3G05380	+	0.3361739129
3	1944682	1944688	1944770	AT3G06400	+	-0.1479215253
3	2966513	2966520	2966616	AT3G09670	+	0.3716359084
3	4636597	4636611	4637143	AT3G14010	+	-0.3204947083
3	4636597	4637056	4637143	AT3G14010	+	-0.2575711068
3	4638932	4638938	4639007	AT3G14010	+	0.2776811819
3	5645174	5645186	5646360	AT3G16570	+	-0.1091913883
3	6748904	6748909	6748991	AT3G19460	+	0.4881721406
3	6903989	6904068	6904568	AT3G19860	+	-0.0827787712
3	7423328	7423334	7423408	AT3G21175	+	0.3246139548
3	8115269	8115279	8115635	AT3G22900	+	-0.3392553455
3	15987551	15987742	15987932	AT3G44310	+	-0.1522411098
3	22636515	22636536	22636629	AT3G61160	+	-0.2011905822
4	693500	693515	693613	AT4G01600	+	0.4647021244
4	2122895	2123117	2123194	AT4G04340	+	0.1032061564
4	6308816	6308849	6309085	AT4G10100	+	-0.2657636437
4	6308832	6308849	6309085	AT4G10100	+	-0.2500546107
4	7487584	7487594	7487686	AT4G12720	+	0.192629013
4	8552747	8552769	8552924	AT4G14965	+	0.158995455
4	9303113	9303124	9303275	AT4G16510	+	-0.2863202206
4	9638820	9638824	9638926	AT4G17150	+	-0.2089331538
4	10478321	10478347	10478541	AT4G19160	+	0.1040056941
4	12426711	12426729	12427055	AT4G23910	+	0.5595152541
4	13539828	13539832	13540218	AT4G26965	+	-0.5282396035
4	15039550	15039566	15039642	AT4G30900	+	0.2642143549
4	15609106	15609117	15609790	AT4G32330	+	-0.1331796852
4	18315838	18315860	18316263	AT4G39390	+	-0.1530961058
5	1563492	1563543	1563644	AT5G05270	+	0.1748101312
5	2872350	2872361	2872460	AT5G09230	+	0.1437729708
5	3740877	3740942	3741504	AT5G11630_and_AT5G11640	+	0.5123261937
5	4283694	4283699	4283783	AT5G13360	+	-0.3867910593
5	6213067	6213160	6213280	AT5G18640	+	0.1539177215
5	7379824	7380727	7380855	AT5G22300	+	-0.4464473061
5	7650681	7650710	7651266	AT5G22875	+	-0.1269088741
5	9194101	9194106	9194278	AT5G26240	+	-0.1992381997
5	9206961	9207008	9207096	AT5G26270	+	0.3348455952
5	9480770	9480786	9481353	AT5G26940	+	0.5
5	15065479	15065512	15065605	AT5G37850	+	0.1964345788
5	16228022	16228049	16228120	AT5G40500	+	0.1115455306
5	17506472	17506502	17507164	AT5G43570	+	0.313507183
5	18056573	18056585	18056668	AT5G44750	+	0.3142269972
5	21535307	21535309	21535391	AT5G53120	+	0.5
5	24850426	24850431	24850548	AT5G61880	+	-0.4089019774
5	25345802	25345811	25346145	AT5G63190	+	0.1506463932
1	687107	687115	687009	AT1G02990	-	1
1	3568316	3568324	3567965	AT1G10740	-	0.7598260836
1	5848200	5848212	5848119	AT1G17110	-	-0.2656201094
1	6504071	6504081	6503950	AT1G18840	-	-0.2210178408
1	6819412	6819430	6819313	AT1G19715	-	0.2285981236
1	8182206	8182218	8182128	AT1G23080	-	-0.3161140986
1	9303845	9303909	9303439	AT1G26850	-	0.0730955461
1	11295991	11296000	11295912	AT1G31550	-	0.2646171037
1	12400965	12400986	12400883	AT1G34065	-	-0.4297440091
1	12749650	12749737	12749566	AT1G34780	-	0.251257835
1	17960781	17960798	17960664	AT1G48580	-	0.7066603261
1	19250291	19250605	19250211	AT1G51840	-	0.4412683094
1	19767221	19767326	19767141	AT1G53040	-	0.3262269092
1	25048838	25048845	25048701	AT1G67090	-	-0.0733284416
1	25908565	25908569	25908380	AT1G68910	-	-0.2556868328
1	27381147	27381165	27380901	AT1G72740	-	0.1649165437
1	28442210	28442213	28442116	AT1G75750	-	-0.1563197221
2	182005	182017	181847	AT2G01420	-	-0.2750388337
2	14045124	14045148	14044671	AT2G33120	-	0.13685901
2	14725545	14725584	14725183	AT2G34900	-	-0.1810575091
2	16571180	16571191	16571066	AT2G39730	-	-0.194432213
2	17345988	17345993	17345768	AT2G41600	-	0.4204957839
3	128880	128892	128483	AT3G01340	-	-0.2564196747
3	604235	604434	603856	AT3G02780	-	0.0826235728
3	2394568	2394574	2394486	AT3G07510	-	0.3041445068
3	4735503	4735515	4735427	AT3G14225	-	1
3	11131809	11131957	11131513	AT3G29160	-	-0.2378326814
3	19631350	19631354	19631206	AT3G52940	-	-0.1600574403
3	20148812	20148815	20148664	AT3G54430_and_AT3G54440	-	0.2568734214
3	21114162	21114207	21114059	AT3G57050	-	0.18973497
3	22158665	22158687	22158584	AT3G59990	-	0.2697352776
3	23434944	23434950	23434825	AT3G63460	-	0.4488601144
4	9201384	9201456	9201274	AT4G16260	-	-0.2205654885
4	9785984	9785996	9785903	AT4G17570	-	-0.3234830366
4	10448077	10448124	10447737	AT4G19070	-	0.2005533887
4	12316195	12316234	12316102	AT4G23620	-	0.2244252519
4	13346388	13346405	13346067	AT4G26400	-	-0.2535952647
4	13435596	13435652	13434925	AT4G26630	-	0.2627470284
4	18561989	18561993	18561884	AT4G40050	-	-0.3370854639
5	1249752	1249756	1249484	AT5G04420	-	-0.1724036929
5	6196327	6196336	6196207	AT5G18620	-	-0.3406284889
5	17220362	17220386	17219258	AT5G42940	-	0.3887962315
5	24604075	24604081	24603983	AT5G61150	-	0.1880453645
1	813581	813604	813929	AT1G03310	+	-0.2958404251
1	1584581	1584588	1584681	AT1G05400	+	-1
1	2723938	2723957	2724075	AT1G08600	+	0.6211023366
1	2883848	2883916	2884031	AT1G08970	+	0.2398859094
1	10887827	10887850	10888276	AT1G30690	+	-0.1225820204
1	11677923	11677925	11678058	AT1G32370	+	0.7497688679
1	12550584	12550588	12550957	AT1G34370	+	-0.1511536247
1	15973300	15973353	15973487	AT1G42540_and_AT1G42550	+	0.4906043094
1	18253848	18253869	18254042	AT1G49340	+	0.3195298603
1	20081900	20081912	20082168	AT1G53800	+	0.1683856004
1	20516178	20516205	20516272	AT1G55000	+	0.5072187649
1	25375712	25375726	25375804	AT1G67700	+	-0.2069172612
1	26622786	26622797	26622941	AT1G70610	+	-0.23687002
1	27439930	27439973	27440072	AT1G72930	+	-0.1393727738
1	30133951	30134017	30134130	AT1G80100	+	0.7561995038
2	621365	621374	621821	AT2G02370	+	-0.3143801625
2	7401232	7401235	7401633	AT2G17033	+	0.3185846695
2	7401232	7401248	7401633	AT2G17033	+	0.3480218083
2	7606823	7606870	7606944	AT2G17500	+	0.9111104701
2	9248980	9248998	9249089	AT2G21620_and_AT2G21630	+	-0.0891110751
2	11023526	11023538	11023675	AT2G25840	+	0.1515794503
2	11316613	11316793	11316999	AT2G26600	+	-0.2721391879
2	19033867	19033950	19034341	AT2G46370	+	0.2301256146
3	6365178	6365182	6365258	AT3G18520	+	0.2326322097
3	7423328	7423334	7423408	AT3G21175	+	0.4784205778
3	8115269	8115279	8115635	AT3G22900	+	-0.5202757251
3	10153035	10153053	10153551	AT3G27430_and_AT3G27440	+	-0.1516301642
3	17918052	17918067	17918201	AT3G48380	+	-0.3560932582
3	19397716	19397720	19397820	AT3G52300	+	-0.0509175661
4	8545565	8545569	8545864	AT4G14950	+	0.3097899391
4	8552747	8552769	8552924	AT4G14965	+	0.3589742291
4	9728420	9728432	9728528	AT4G17440	+	-0.5722994533
4	11294228	11294385	11294551	AT4G21192	+	0.2302174421
4	11997895	11997909	11998116	AT4G22860	+	0.6110714814
4	12426711	12426729	12427055	AT4G23910	+	0.1983146136
4	12647524	12647548	12647609	AT4G24470	+	-0.1959634928
4	13539828	13539832	13540218	AT4G26965	+	-0.309819381
4	16249766	16249770	16249946	AT4G33890	+	-0.3286187593
5	3740877	3740942	3741504	AT5G11630_and_AT5G11640	+	0.3203829022
5	6213067	6213160	6213280	AT5G18640	+	0.3232091771
5	9480770	9480786	9481353	AT5G26940	+	0.5
5	9814342	9814369	9814460	AT5G27710	+	-0.2579718671
5	17698020	17698094	17698444	AT5G43990	+	1
5	20580443	20580565	20580856	AT5G50565	+	-0.9121826304
5	20580493	20580565	20580856	AT5G50565	+	-0.3555635986
5	22106486	22106498	22106911	AT5G54440	+	-0.1936230944
5	22209572	22209691	22209853	AT5G54670	+	-0.3434591603
5	24744051	24744078	24744194	AT5G61530	+	0.2478619315
