Name	Chr	Start	End	Strand	Cai	Parker20c	Sun	Wang	average
AT3G54760:20270980:20271074	3	20270980	20271074	-	-0.0757290825			-0.1445421724	-0.11013562745
AT3G53970:19986758:19986880	3	19986758	19986880	+	-0.1265240109	-0.0939154197			-0.1102197153
AT5G48543_and_AT5G48545:19677600:19677694	5	19677600	19677694	+		-0.0999179443	-0.1206426369		-0.1102802906
AT3G24120:8706335:8706344	3	8706335	8706344	-		-0.0724095302	-0.148175811		-0.1102926706
AT1G58180:21539300:21539394	1	21539300	21539394	-		-0.0986594342	-0.122028508		-0.1103439711
AT4G32760:15803159:15803162	4	15803159	15803162	+	-0.07355538	-0.1184130978	-0.1452597818		-0.11240941986666668
AT2G01930:428223:428706	2	428223	428706	-		-0.1011202329	-0.1238114084		-0.11246582064999999
AT2G27230:11650691:11650729	2	11650691	11650729	+	-0.1157513954	-0.1098658246			-0.11280861
AT2G16370:7082470:7082545	2	7082470	7082545	-	-0.1135654793	-0.1126078714			-0.11308667535
AT1G14710:5064811:5064972	1	5064811	5064972	-	-0.0978440828	-0.1285546474	-0.1163593443		-0.1142526915
AT4G32660:15757019:15757112	4	15757019	15757112	+	-0.1375341403	-0.0933812434			-0.11545769184999999
AT2G44180:18271085:18271153	2	18271085	18271153	-		-0.0789081751	-0.1523031017		-0.1156056384
AT5G02810:640755:640889	5	640755	640889	-		-0.1478443307	-0.0844218527		-0.1161330917
AT4G03110:1377407:1377410	4	1377407	1377410	-	-0.1147370337	-0.1176856716			-0.11621135265
AT1G72640:27346899:27346919	1	27346899	27346919	-	-0.086553894	-0.1446008392	-0.0734202423	-0.1630060715	-0.11689526175
AT4G20930:11200523:11200611	4	11200523	11200611	-	0.1638871016			-0.3997437699	-0.11792833415
AT2G47160:19360450:19360526	2	19360450	19360526	-		-0.0765827738	-0.1605050439		-0.11854390885
AT5G16150:5272895:5272899	5	5272895	5272899	+	-0.112374177	-0.0984764828	-0.1474056702		-0.11941877666666667
AT1G73490:27634289:27634292	1	27634289	27634292	-		-0.0806522351		-0.1602668839	-0.1204595595
AT3G62840:23236111:23236114	3	23236111	23236114	-	-0.1410276404	-0.1385058751	-0.1165708218	-0.0858580264	-0.120490590925
AT3G15770:5340483:5340486	3	5340483	5340486	+		-0.1042375934	-0.1407494937		-0.12249354355
AT1G56720:21265565:21265570	1	21265565	21265570	-	-0.146628929	-0.0990245143			-0.12282672165
AT4G38420:17984705:17984806	4	17984705	17984806	+	-0.1061474765		-0.1412502642		-0.12369887035
AT1G72930:27439930:27439973	1	27439930	27439973	+	-0.1258715668		-0.1060168621	-0.1393727738	-0.12375373423333332
AT5G66160:26446704:26446801	5	26446704	26446801	+		-0.1166692419	-0.1330718403		-0.1248705411
AT4G31180:15156073:15156078	4	15156073	15156078	+	-0.1226656732	-0.1280565521			-0.12536111265
AT4G26650:13445449:13445563	4	13445449	13445563	+	-0.1195836072		-0.1147657731	-0.1470969429	-0.1271487744
AT4G10050:6286996:6287071	4	6286996	6287071	-		-0.1052624774	-0.1501602974		-0.1277113874
AT3G46830:17248518:17248615	3	17248518	17248615	-	-0.0963203432	-0.1739192125	-0.1145636884		-0.12826774803333332
AT2G22490:9554414:9554417	2	9554414	9554417	-	-0.1267621988	-0.1242837415	-0.1342192724		-0.12842173756666667
AT5G12210:3947671:3947674	5	3947671	3947674	+			-0.0763593777	-0.181470672	-0.12891502485
AT2G25670:10930719:10930828	2	10930719	10930828	-	-0.1169959311	-0.0744841601	-0.1995248135		-0.13033496823333335
AT3G06400:1944682:1944688	3	1944682	1944688	+	-0.1152138573	-0.1287214101	-0.1479215253		-0.13061893089999999
AT4G21150:11278631:11278644	4	11278631	11278644	+		-0.0891985005	-0.173663129		-0.13143081475
AT4G39100:18218733:18218753	4	18218733	18218753	-	-0.1266086026	-0.1343209969	-0.1332703849	-0.1342794122	-0.13211984915000002
AT1G08570:2712985:2713010	1	2712985	2713010	+	-0.1146871445	-0.1849336035	-0.0980943204		-0.13257168946666667
AT1G67950:25479375:25479378	1	25479375	25479378	-	-0.137122631		-0.1300993682		-0.1336109996
AT2G37480:15739250:15739253	2	15739250	15739253	+	-0.1276520154	-0.1515770126	-0.1270842436		-0.13543775720000004
AT1G62250:22995919:22996058	1	22995919	22996058	-	-0.113967474	-0.1465616673	-0.1512647617		-0.13726463433333333
AT1G29850:10448846:10448849	1	10448846	10448849	+	-0.1371837377	-0.1440204224	-0.1325236708		-0.13790927696666666
AT1G13980:4789461:4789492	1	4789461	4789492	+	-0.1348029116	-0.14296835			-0.1388856308
AT4G18740:10303631:10303725	4	10303631	10303725	-	-0.3333333333	0.1658652369	-0.25		-0.13915603213333333
AT4G09150:5831044:5831047	4	5831044	5831047	+	-0.1658737807	-0.1136187229			-0.1397462518
AT2G22250:9460285:9460338	2	9460285	9460338	-			-0.4446109218	0.1647668014	-0.1399220602
AT1G29040_and_AT1G29041:10134536:10134581	1	10134536	10134581	+	-0.1507941228	-0.0824346053	-0.1958914035		-0.14304004386666666
AT1G79110:29759999:29760008	1	29759999	29760008	+	-0.0791778152		-0.2078417272		-0.1435097712
AT1G10600:3504359:3504488	1	3504359	3504488	+		-0.1033183336	-0.1856221039		-0.14447021875
AT4G33625:16153345:16153716	4	16153345	16153716	-		-0.1350328001	-0.1577315799		-0.14638219
AT3G04610:1254282:1254769	3	1254282	1254769	-		-0.1412617934	-0.1542290304		-0.1477454119
AT3G01150:52645:52746	3	52645	52746	+	-0.1719973633	-0.126678824			-0.14933809365
AT3G21430:7548863:7548875	3	7548863	7548875	-	-0.1420523186	-0.1581469522			-0.1500996354
AT1G79270:29816190:29816515	1	29816190	29816515	+	-0.1302061216	-0.1710234825			-0.15061480205
AT3G05420:1563412:1563415	3	1563412	1563415	+	-0.1615565942	-0.1546959933	-0.1449407938		-0.1537311271
AT3G54010:20001313:20001384	3	20001313	20001384	+	-0.1536180053	-0.1267434577	-0.1874892914		-0.15595025146666666
AT4G32330:15609106:15609117	4	15609106	15609117	+	-0.1456394291	-0.1957738196	-0.1331796852		-0.15819764463333333
AT5G51410:20881386:20881393	5	20881386	20881393	-	0.38715986			-0.7046137381	-0.15872693905000002
AT1G54030:20169029:20169100	1	20169029	20169100	+	-0.1463482667	-0.1679463121	-0.1620554882		-0.15878335566666665
AT3G01150:53911:53958	3	53911	53958	+	-0.2143121574	-0.1034540254			-0.1588830914
AT2G34900:14725545:14725584	2	14725545	14725584	-	-0.2138195904	-0.087292538		-0.1810575091	-0.16072321250000002
AT4G32900:15879538:15879546	4	15879538	15879546	-	-0.1274844	-0.2332118017	-0.1265997346		-0.16243197876666668
AT3G24740:9032064:9032377	3	9032064	9032377	+	-0.2150006628	-0.1140235893			-0.16451212604999998
AT5G20950:7110797:7110819	5	7110797	7110819	-	-0.1824578125	-0.196676555	-0.1147198088		-0.16461805876666666
AT2G21370:9139585:9139589	2	9139585	9139589	-	-0.1636349783	-0.166417354			-0.16502616615
AT1G80940:30411603:30411680	1	30411603	30411680	+	-0.1009765213		-0.2294796545		-0.1652280879
AT5G60570:24348368:24348380	5	24348368	24348380	+	-0.1465696533	-0.1691196072	-0.182976349		-0.16622186983333334
AT3G14010:4637143:4637147	3	4637143	4637147	+	-0.145812801	-0.2312020843	-0.1218199998		-0.16627829503333333
AT4G01330:552731:552734	4	552731	552734	+	-0.1620822683	-0.1464553735	-0.1910171218		-0.16651825453333333
AT4G26300:13312266:13312270	4	13312266	13312270	-	-0.1746351849	-0.1637112976			-0.16917324125
AT5G08580:2780725:2780808	5	2780725	2780808	-	-0.1568150107	-0.151105828	-0.2037367327		-0.1705525238
AT2G26600:11316613:11316793	2	11316613	11316793	+	-0.1335525819	-0.106980487		-0.2721391879	-0.17089075226666664
AT1G13450:4613516:4613755	1	4613516	4613755	-	-0.1634617446	-0.105715985	-0.2438712602		-0.1710163299333333
AT2G19080:8264194:8264305	2	8264194	8264305	+	-0.2110932433	-0.1710385803	-0.1324001505		-0.17151065803333332
AT1G17110:5848200:5848212	1	5848200	5848212	-	-0.1340927325	-0.1226002688		-0.2656201094	-0.17410437023333336
AT5G02040:402556:402566	5	402556	402566	+	-0.1587844732	-0.1561147475	-0.2090901109		-0.1746631105333333
AT1G27770:9675232:9675309	1	9675232	9675309	-	-0.1828780283	-0.1581346308	-0.1831383769		-0.174717012
AT3G02260:448168:448198	3	448168	448198	-	-0.2373423071	-0.1169178825			-0.1771300948
AT1G68910:25908565:25908569	1	25908565	25908569	-	-0.1319917917	-0.1456700094		-0.2556868328	-0.17778287796666667
AT3G61160:22636515:22636536	3	22636515	22636536	+		-0.1552783	-0.2011905822		-0.1782344411
AT4G31350:15212726:15212741	4	15212726	15212741	+	-0.1779383016	-0.1803463996			-0.1791423506
AT3G04630:1259567:1259570	3	1259567	1259570	+	-0.1942741791	-0.2064178175	-0.1350814567	-0.1880608676	-0.180958580225
AT3G24530:8947208:8947286	3	8947208	8947286	-	-0.21203655	-0.1622581144	-0.1908722308	-0.1588184437	-0.18099633472499999
AT3G58050:21493245:21493248	3	21493245	21493248	+	-0.1983321575	-0.125619876	-0.2202499655		-0.18140066633333332
AT3G01310:101356:101532	3	101356	101532	-	-0.1901906867	-0.1630218712	-0.1931181949		-0.18211025093333333
AT5G27710:9814342:9814369	5	9814342	9814369	+		-0.1065138714		-0.2579718671	-0.18224286925
AT2G06025:2351548:2351672	2	2351548	2351672	+	-0.2392210055	-0.143718511	-0.1647016077		-0.1825470414
AT3G02740:590808:591041	3	590808	591041	+	-0.1210536113	-0.2725682286	-0.1609519733		-0.18485793773333334
AT3G44665_and_AT3G44670:16217057:16217237	3	16217057	16217237	+	-0.1505960355	-0.2211135103			-0.18585477290000002
AT2G21195:9083261:9083339	2	9083261	9083339	+	-0.1842018596	-0.1806378603	-0.1936611219		-0.18616694726666663
AT3G53560_and_AT3G53570:19864114:19864153	3	19864114	19864153	-		-0.1187346132		-0.2561495126	-0.1874420629
AT2G04690:1646031:1646066	2	1646031	1646066	+	-0.1680687544	-0.1689154978	-0.2256212149		-0.1875351557
AT4G18070:10032595:10032598	4	10032595	10032598	+	-0.1712407559		-0.2051868156		-0.18821378575
AT5G56180:22740141:22740256	5	22740141	22740256	-	-0.2740198275	-0.1075056885	-0.1878176221		-0.18978104603333332
AT1G04230:1127434:1127437	1	1127434	1127437	+	-0.2024766535		-0.1772871884		-0.18988192095
AT5G13800:4454310:4454360	5	4454310	4454360	-	-0.1513607984			-0.2305679206	-0.1909643595
AT3G14860:4999229:4999232	3	4999229	4999232	-			-0.144959696	-0.2373128546	-0.1911362753
AT3G14010:4636597:4636611	3	4636597	4636611	+	-0.1501135803	-0.1067034932	-0.3204947083		-0.1924372606
AT4G27900:13890726:13890819	4	13890726	13890819	+	0.1740568531			-0.5593840086	-0.19266357775000004
AT2G38280:16033727:16033742	2	16033727	16033742	-	-0.1497590714	-0.2296554345	-0.2011850052		-0.19353317036666665
AT1G35515_and_AT1G35516:13078915:13078929	1	13078915	13078929	+	-0.2243494542	-0.1820588266	-0.1766520058		-0.1943534288666667
AT1G30410:10739689:10739823	1	10739689	10739823	+	-0.2402585923	-0.1494374979			-0.19484804509999998
AT1G15280:5253546:5253549	1	5253546	5253549	+	-0.1921149217	-0.2117187769	-0.2298942641	-0.1517016687	-0.19635740785
AT2G47640:19537860:19537863	2	19537860	19537863	+	-0.1995876593	-0.2104619445	-0.1791041044		-0.19638456940000001
AT1G54310:20274535:20274561	1	20274535	20274561	+	-0.2243770189	-0.2195409163	-0.1460131659		-0.19664370036666667
AT4G31170:15155467:15155576	4	15155467	15155576	-	-0.2085885235	-0.1523244638	-0.2303371328		-0.19708337336666668
AT1G23360:8296342:8296419	1	8296342	8296419	-	-0.1848437046	-0.2354848745	-0.1843193051	-0.1862494428	-0.19772433175
AT5G48520:19663927:19663930	5	19663927	19663930	+	-0.2127980463	-0.1796938234	-0.2038617765		-0.19878454873333332
AT3G26690:9805408:9805473	3	9805408	9805473	-	-0.2527426936	-0.1893476019	-0.1546228343		-0.19890437660000002
AT1G19650:6798953:6799099	1	6798953	6799099	-	-0.2111520047	-0.1873903149			-0.1992711598
AT1G18840:6504071:6504081	1	6504071	6504081	-	-0.1860495672	-0.2026668653		-0.2210178408	-0.20324475776666664
AT5G44290:17843433:17843493	5	17843433	17843493	-	-0.2048853722	-0.1628847573	-0.2454512607		-0.20440713006666666
AT2G27350:11699994:11699997	2	11699994	11699997	-	-0.1861717412	-0.2257581469			-0.20596494405
AT5G09860:3069216:3069219	5	3069216	3069219	+			-0.23082183	-0.1835737381	-0.20719778405
AT4G24740:12755048:12755142	4	12755048	12755142	-	-0.2206855421	-0.1950418326			-0.20786368735
AT3G13062_and_AT3G13065:4185358:4185382	3	4185358	4185382	+	-0.2319520091	-0.1863109551			-0.2091314821
AT4G11840:7125245:7125336	4	7125245	7125336	-	-0.1647026861		-0.2550892903		-0.2098959882
AT4G10970:6722029:6722138	4	6722029	6722138	-	-0.2015279055	-0.1738739225	-0.2552351829		-0.21021233696666666
AT2G41720:17403808:17403905	2	17403808	17403905	-	-0.2278514462	-0.1137379416	-0.2896164066		-0.21040193146666666
AT2G04690:1646066:1646155	2	1646066	1646155	+	-0.3069972213	-0.1014139539	-0.2228665155		-0.21042589690000002
AT2G02960:864020:864248	2	864020	864248	-		-0.1524791134	-0.2693550475		-0.21091708045000002
AT3G27260:10070619:10070646	3	10070619	10070646	+	-0.1459636689	-0.2865197714			-0.21624172015
AT2G05590:2068646:2068651	2	2068646	2068651	+		-0.2571867514	-0.1847458374		-0.2209662944
AT3G19770:6867839:6867843	3	6867839	6867843	+	-0.1810823182			-0.2615690811	-0.22132569964999999
AT4G17150:9638820:9638824	4	9638820	9638824	+	-0.2843816286	-0.1731334332	-0.2089331538		-0.2221494052
AT1G02080:375122:375125	1	375122	375125	+		-0.0965401517	-0.3504792465		-0.22350969910000001
AT1G27630:9611876:9612429	1	9611876	9612429	+		-0.208616439	-0.2384381675		-0.22352730324999998
AT2G23980_and_AT2G23987:10204040:10204388	2	10204040	10204388	-		-0.2257535639	-0.2224028765		-0.2240782202
AT4G10100:6308816:6308849	4	6308816	6308849	+	-0.2353720816	-0.1723385493	-0.2657636437		-0.22449142486666665
AT4G18740:10303631:10303725	4	10303631	10303725	-	-0.3333333333	-0.0929097613	-0.25		-0.22541436486666666
AT5G40530:16235813:16235883	5	16235813	16235883	+		-0.269926731	-0.1815352461		-0.22573098854999998
AT3G52170:19349132:19349146	3	19349132	19349146	-	-0.1570240591	-0.322028711		-0.2062469565	-0.22843324220000003
AT3G05600:1623752:1623820	3	1623752	1623820	-			-0.249945568	-0.2070485	-0.228497034
AT2G39730:16571180:16571191	2	16571180	16571191	-	-0.251396423	-0.2517537881	-0.2397589348	-0.194432213	-0.23433533972499998
AT4G16990:9560115:9560992	4	9560115	9560992	+		0.1780139676		-0.6473338768	-0.2346599546
AT4G22320:11793275:11793278	4	11793275	11793278	-	-0.297701779	-0.2335054334	-0.1744162659		-0.23520782610000002
AT4G39390:18315838:18315860	4	18315838	18315860	+	-0.3253641741	-0.2281427391	-0.1530961058		-0.23553433966666668
AT1G70610:26622786:26622797	1	26622786	26622797	+	-0.222148023		-0.2477719115	-0.23687002	-0.2355966515
AT1G08060:2507815:2507818	1	2507815	2507818	-	0.2616218744			-0.7335516595	-0.23596489255
AT4G23270:12173873:12173941	4	12173873	12173941	+	-0.3558046509	-0.0954647423	-0.2798784068		-0.24371593333333333
AT5G16280:5326521:5326524	5	5326521	5326524	-	-0.2090374839	-0.2161332299	-0.3103349398		-0.2451685512
AT5G26940:9480308:9480786	5	9480308	9480786	+	-0.1661657117		-0.2132719801	-0.3610313901	-0.24682302729999997
AT4G10100:6308832:6308849	4	6308832	6308849	+	-0.2378428676	-0.2628594046	-0.2500546107		-0.2502522943
AT3G01310:101514:101532	3	101514	101532	-	-0.2275763141	-0.257441359	-0.2679206803		-0.25097945113333336
AT2G23980_and_AT2G23987:10202911:10202981	2	10202911	10202981	-	-0.2687256973	-0.1969029554	-0.2890804142		-0.2515696889666667
AT4G31150:15144317:15144493	4	15144317	15144493	-	-0.2549060977	-0.2172449608	-0.2838582934		-0.25200311729999997
AT5G57860:23437920:23437925	5	23437920	23437925	+	-0.253194622	-0.2851888239	-0.2262682517		-0.2548838992
AT2G37510:15743353:15743429	2	15743353	15743429	-	-0.2411138154	-0.1945594672	-0.3301222665		-0.2552651830333333
AT1G67700:25375712:25375726	1	25375712	25375726	+	-0.2757009132	-0.2870261118	-0.2568373866	-0.2069172612	-0.25662041820000003
AT1G68820:25866864:25866882	1	25866864	25866882	+	-0.2839293888	-0.2158547953	-0.2750922913		-0.2582921584666667
AT1G62290:23013416:23013601	1	23013416	23013601	-		-0.1992698462	-0.3283764619		-0.26382315405
AT5G50565:20580493:20580565	5	20580493	20580565	+		-0.1734173323		-0.3555635986	-0.26449046545
AT1G18660:6421303:6421398	1	6421303	6421398	+	-0.2123105394	-0.3172664871	-0.2720904471		-0.2672224912
AT1G68910:25910492:25910538	1	25910492	25910538	-		-0.1361061311		-0.4060748273	-0.2710904792
AT5G26240:9194101:9194106	5	9194101	9194106	+	-0.3151649856	-0.3001602906	-0.1992381997		-0.2715211586333333
AT1G13880:4749835:4749838	1	4749835	4749838	+	-0.2564870458	-0.2581393271	-0.2841929189	-0.2905004079	-0.27232992492499997
AT1G61010:22474630:22474669	1	22474630	22474669	-	-0.2811986271	-0.2704104251			-0.2758045261
AT3G05165:1462783:1462786	3	1462783	1462786	-	-0.3470392965			-0.2099352179	-0.2784872572
AT1G27900:9716339:9716538	1	9716339	9716538	-	-0.2388069147	-0.3126824158	-0.2852917462		-0.27892702556666665
AT3G48060:17748019:17748022	3	17748019	17748022	-	-0.3304434528	-0.2305478769			-0.28049566485
AT3G07300:2326719:2326725	3	2326719	2326725	-	-0.2752183953	-0.2831775715	-0.293703419		-0.2840331286
AT2G16930:7341210:7341247	2	7341210	7341247	+	-0.3201131551	-0.2701567333	-0.2696330688		-0.28663431906666664
AT1G53200:19842634:19842651	1	19842634	19842651	-		-0.1704517946	-0.4120314196		-0.2912416071
AT2G21385_and_AT2G21390:9149976:9150112	2	9149976	9150112	+	-0.2807941067	-0.3042020728			-0.29249808975
AT4G08980:5758484:5758982	4	5758484	5758982	+		-0.2893683001	-0.2987059489		-0.29403712449999997
AT5G13360:4283694:4283699	5	4283694	4283699	+		-0.2135107963	-0.3867910593		-0.3001509278
AT2G04690:1646031:1646155	2	1646031	1646155	+	-0.3295384823	-0.2554600037	-0.3295204691		-0.3048396517
AT5G10710:3382197:3382327	5	3382197	3382327	+	-0.2983582874	-0.2734506784	-0.356222681		-0.30934388226666665
AT2G21385_and_AT2G21390:9149885:9150092	2	9149885	9150092	+	-0.1217492304	-0.5034710435			-0.31261013695
AT3G10250:3170842:3170892	3	3170842	3170892	-	-0.2843929033		-0.3501834522		-0.31728817775
AT1G52370:19506356:19506765	1	19506356	19506765	+			-0.1801696358	-0.4545066838	-0.3173381598
AT1G29040_and_AT1G29041:10135051:10135058	1	10135051	10135058	+	-0.3150104097	-0.3709764101	-0.2727669858		-0.31958460186666665
AT3G21215:7442975:7443073	3	7442975	7443073	-		-0.1506193209	-0.5009097124		-0.32576451665
AT5G60940:24523687:24523780	5	24523687	24523780	+	-0.3127346889	-0.3385247297	-0.3304304307		-0.3272299497666667
AT4G26400:13346388:13346405	4	13346388	13346405	-	-0.2878146618	-0.4412861039	-0.3317578726	-0.2535952647	-0.32861347575
AT4G35560:16884321:16884324	4	16884321	16884324	+	-0.3568080697		-0.3006882632		-0.32874816645000005
AT1G34065:12400965:12400986	1	12400965	12400986	-	-0.2380164084			-0.4297440091	-0.33388020875
AT3G59360:21935804:21935812	3	21935804	21935812	-	-0.3444619836	-0.3488328027	-0.3194626799		-0.3375858220666667
AT2G46270:19002161:19002230	2	19002161	19002230	+	-0.4039033062	-0.252250185	-0.3582432818		-0.3381322576666667
AT2G01420:182005:182017	2	182005	182017	-	-0.3571709625	-0.3495297986	-0.3836747273	-0.2750388337	-0.34135358052500003
AT5G61880:24850426:24850431	5	24850426	24850431	+	-0.2875851957	-0.3334624486	-0.4089019774		-0.3433165405666667
AT2G36680:15369361:15369449	2	15369361	15369449	-	-0.4206063573	-0.3662212072	-0.2524451019		-0.34642422213333335
AT2G32320:13729206:13729242	2	13729206	13729242	+	-0.3407541667	-0.3950011113	-0.3198397675		-0.3518650151666667
AT5G63700:25494407:25494578	5	25494407	25494578	-	-0.2810953055	-0.4010391958	-0.382040501		-0.35472500076666663
AT1G05400:1584581:1584588	1	1584581	1584588	+		0.2814840039		-1.0	-0.35925799805
AT1G08040:2498480:2498484	1	2498480	2498484	-	-0.2919159315	-0.3240991865	-0.4626234342		-0.35954618406666666
AT2G22570:9589982:9590081	2	9589982	9590081	-	-0.4511201153	-0.3319732445	-0.302950455		-0.3620146049333333
AT1G03310:813581:813604	1	813581	813604	+	-0.4507000005	-0.4403807361	-0.2713843653	-0.2958404251	-0.36457638175
AT2G27340:11697163:11697449	2	11697163	11697449	+		-0.3037803086	-0.4312088786		-0.36749459360000003
AT3G54500:20178804:20178941	3	20178804	20178941	-	-0.1261480804	-0.3398923341	-0.6447358244		-0.3702587463
AT1G78690:29597210:29597235	1	29597210	29597235	+	-0.4261959545	-0.3256813586			-0.37593865655
AT1G06960:2137146:2137264	1	2137146	2137264	+		-0.2835139299		-0.4789525842	-0.38123325705
AT4G40050:18561989:18561993	4	18561989	18561993	-	-0.3654910974	-0.4056264065	-0.4406550647	-0.3370854639	-0.387214508125
AT4G15090:8614273:8614344	4	8614273	8614344	+	-0.4554960873	-0.3579223625			-0.4067092249
AT2G33540:14208049:14208175	2	14208049	14208175	-	-0.4069634929	-0.3624376558	-0.4518013374		-0.40706749536666664
AT2G36680:15369366:15369449	2	15369366	15369449	-	-0.338709427	-0.3874508032	-0.4956822599		-0.4072808300333333
AT1G23080:8182206:8182218	1	8182206	8182218	-	-0.4502530475	-0.4583543155	-0.4390448702	-0.3161140986	-0.41594158295
AT4G09980:6249105:6249116	4	6249105	6249116	-	-0.4145428306	-0.4144532977	-0.4379109177		-0.42230234866666666
AT1G52370:19506356:19506765	1	19506356	19506765	+			-0.395222261	-0.4545066838	-0.4248644724
AT3G22900:8115269:8115279	3	8115269	8115279	+			-0.3392553455	-0.5202757251	-0.4297655353
AT3G19460:6748909:6748991	3	6748909	6748991	+	-0.400566273	-0.493225665	-0.4437224226		-0.44583812019999997
AT1G52370:19506356:19506765	1	19506356	19506765	+			-0.1801696358	-0.7183079128	-0.4492387743
AT1G15490:5323153:5323158	1	5323153	5323158	-		-0.4228459379	-0.496009323		-0.45942763045
AT1G14970:5164532:5164537	1	5164532	5164537	-	-0.3606305875	-0.4110862053	-0.6093034392		-0.4603400773333333
AT2G02960:864020:864087	2	864020	864087	-		-0.235009163	-0.2848364461	-0.869644878	-0.4631634957
AT4G26965:13539828:13539832	4	13539828	13539832	+	-0.5302885976	-0.4855635692	-0.5282396035	-0.309819381	-0.46347778782500004
AT4G38380:17974505:17974519	4	17974505	17974519	-		-0.4773913459	-0.4502592407		-0.4638252933
AT1G49950:18496922:18497084	1	18496922	18497084	-	-0.6600236531	-0.2715838921			-0.4658037726
AT1G79270:29816510:29816515	1	29816510	29816515	+	-0.5430984206	-0.4057881885			-0.47444330455
AT5G06670:2055286:2055367	5	2055286	2055367	-	-0.4382775492		-0.5328790746		-0.4855783119
AT3G23470_and_AT3G23480:8420426:8420496	3	8420426	8420496	+	-0.3937319194	-0.5730254929	-0.4959204178		-0.48755927670000004
AT2G25740:10980344:10980621	2	10980344	10980621	+	-0.4618883104	-0.5018931378	-0.5231658113		-0.4956490865
AT5G18620:6196327:6196336	5	6196327	6196336	-	-0.3593029906	-0.6212469963	-0.6797052897	-0.3406284889	-0.5002209413750001
AT4G17570:9785984:9785996	4	9785984	9785996	-	-0.5635815132	-0.5120605804	-0.6084964585	-0.3234830366	-0.5019053971749999
AT2G02080:520977:520981	2	520977	520981	-	-0.6120559816	-0.5127818722	-0.3961254819		-0.5069877785666667
AT1G79190:29792210:29792228	1	29792210	29792228	+	-0.4199774551	-0.6309078514	-0.6030391521		-0.5513081528666667
AT5G53900:21882734:21882857	5	21882734	21882857	-		-0.4319658203		-0.675858644	-0.55391223215
AT1G14970:5164347:5164537	1	5164347	5164537	-	-0.3433615807		-0.769389184		-0.55637538235
AT1G52370:19506356:19506765	1	19506356	19506765	+			-0.395222261	-0.7183079128	-0.5567650869
AT4G38380:17974419:17974519	4	17974419	17974519	-		-0.6357990934	-0.4825860993		-0.55919259635
AT2G45830:18866503:18866607	2	18866503	18866607	+	-0.6414262673	-0.5275709588			-0.5844986130500001
AT3G63480:23442678:23442690	3	23442678	23442690	-	-0.7631915639	-0.5217846077			-0.6424880857999999
AT1G18950:6550669:6550681	1	6550669	6550681	+	-0.6217520006	-0.5461762214	-0.7850327767		-0.6509869995666667
AT3G19460:6747663:6747929	3	6747663	6747929	+	-0.9131888344		-0.9727149167		-0.9429518755499999
