gene	event	dpsi_Parker20c	p_val_Parker20c	dpsi_Sun	p_val_Sun
AT5G26240	A5:5:9194106-9194278:9194101-9194278:+	-0.3001602906	0.000999001	-0.1992381997	0.018981019
AT5G28840	A3:5:10864044-10864726:10864025-10864726:-	-0.0449345768	0.036963037	0.0426759563	0.0374625375
AT5G35330	A5:5:13525279-13525621:13525279-13525642:-	0.2040284093	0.002997003	0.3282000384	0.010989011
AT5G37690	A5:5:14975574-14975878:14975574-14975902:-	0.285827461	0.0004995005	0.3200006806	0.027972028
AT5G37850	A5:5:15065512-15065605:15065479-15065605:+	0.2374597902	0.000999001	0.1964345788	0.014985015
AT5G37850	RI:5:15065300:15065479-15065605:15065701:+	0.2560975999	0.000999001	0.2515421858	0.003996004
AT5G40500	A5:5:16228049-16228120:16228022-16228120:+	0.1699479129	0.00999001	0.1115455306	0.026973027
AT5G40530	RI:5:16235699:16235813-16235883:16235927:+	-0.269926731	0.0024975025	-0.1815352461	0.024975025
AT5G41340	RI:5:16539236:16539350-16539734:16539813:-	-0.0674568945	0.0254745255	-0.0795171414	0.042957043
AT5G42870	A5:5:17187201-17187282:17187201-17187297:-	0.1079366263	0.028971029	0.239561674	0.023976024
AT5G42900	A3:5:17198609-17198693:17198606-17198693:-	0.1270271838	0.005994006	0.1139115784	0.011988012
AT5G42940	A5:5:17219258-17220362:17219258-17220386:-	0.1224710115	0.0134865135	0.161096428	0.038961039
AT5G44290	SE:5:17843307-17843433:17843493-17843577:-	-0.1628847573	0.0066600067	-0.2454512607	0.021978022
AT5G44750	A5:5:18056585-18056668:18056573-18056668:+	0.1868430124	0.002997003	0.3142269972	0.001998002
AT5G48520	A3:5:19663794-19663927:19663794-19663930:+	-0.1796938234	0.01998002	-0.2038617765	0.0384615385
AT5G48543_and_AT5G48545	RI:5:19676968:19677034-19677545:19677600:+	-0.086226949	0.04995005	-0.1040784816	0.0464535465
AT5G48543_and_AT5G48545	RI:5:19677545:19677600-19677694:19677747:+	-0.0999179443	0.04995005	-0.1206426369	0.0464535465
AT5G56180	RI:5:22740074:22740141-22740256:22740326:-	-0.1075056885	0.01998002	-0.1878176221	0.03996004
AT5G57110	A3:5:23116914-23117465:23116898-23117465:-	0.1041149124	0.025974026	0.0990359803	0.041958042
AT5G57860	A3:5:23437729-23437920:23437729-23437925:+	-0.2851888239	0.001998002	-0.2262682517	0.02997003
AT5G58330	A3:5:23582023-23582115:23582020-23582115:-	-0.0931640403	0.008991009	-0.0826246494	0.035964036
AT5G59970	RI:5:24145831:24146098-24146289:24146729:-	-0.0844614853	0.031968032	-0.054372961	0.03996004
AT5G60570	A3:5:24348026-24348368:24348026-24348380:+	-0.1691196072	0.0014985015	-0.182976349	0.0164835165
AT5G60940	RI:5:24523578:24523687-24523780:24523849:+	-0.3385247297	0.0014985015	-0.3304304307	0.0044955045
AT5G61020	A3:5:24559247-24559363:24559241-24559363:-	0.1224156576	0.001998002	0.0905761025	0.033966034
AT5G61150	A5:5:24603983-24604075:24603983-24604081:-	0.2029647834	0.000999001	0.2190847617	0.0044955045
AT5G61410	A3:5:24683858-24684045:24683852-24684045:-	0.0752445229	0.006993007	0.1024879293	0.011988012
AT5G61880	A5:5:24850431-24850548:24850426-24850548:+	-0.3334624486	0.001998002	-0.4089019774	0.002997003
AT5G62000	A3:5:24914720-24914814:24914720-24914817:+	0.1186436611	0.015984016	0.1207051655	0.030969031
AT5G63190	A5:5:25345811-25346145:25345802-25346145:+	0.1082638942	0.006993007	0.1506463932	0.011988012
AT5G63700	RI:5:25494357:25494407-25494578:25494637:-	-0.4010391958	0.003996004	-0.382040501	0.0094905095
AT5G65430	A3:5:26148566-26148687:26148560-26148687:-	0.0563445558	0.022977023	0.1123425932	0.0054945055
AT5G66160	RI:5:26446607:26446704-26446801:26447433:+	-0.1166692419	0.00999001	-0.1330718403	0.034965035
AT5G66240	RI:5:26466174:26466274-26466364:26466443:+	0.0715221027	0.047952048	0.1137716276	0.03996004
