gene	event	dpsi_Cai	p_val_Cai	dpsi_Parker20c	p_val_Parker20c
AT4G39390	A5:4:18315860-18316263:18315838-18316263:+	-0.3253641741	0.0124875125	-0.2281427391	0.0034965035
AT4G40050	A5:4:18561884-18561989:18561884-18561993:-	-0.3654910974	0.000999001	-0.4056264065	0.0
AT5G02040	A3:5:402477-402556:402477-402566:+	-0.1587844732	0.0344655345	-0.1561147475	0.0074925075
AT5G08440	A3:5:2724018-2724389:2724018-2724392:+	0.2742444422	0.022977023	0.1838796518	0.038961039
AT5G08580	RI:5:2780450:2780725-2780808:2780868:-	-0.1568150107	0.02997003	-0.151105828	0.025974026
AT5G10710	RI:5:3382100:3382197-3382327:3382508:+	-0.2983582874	0.021978022	-0.2734506784	0.002997003
AT5G10940	A5:5:3451575-3452076:3451575-3452085:-	0.1402023073	0.028971029	0.2633776229	0.0
AT5G11630_and_AT5G11640	A5:5:3740942-3741504:3740877-3741504:+	0.3762786177	0.00999001	0.4456841101	0.002997003
AT5G14060	A3:5:4535724-4536067:4535724-4536073:+	-0.0675067449	0.028971029	-0.0894429926	0.032967033
AT5G16030	A3:5:5238585-5238680:5238585-5238683:+	-0.0849038176	0.011988012	-0.1299591831	0.00999001
AT5G16150	A3:5:5272653-5272895:5272653-5272899:+	-0.112374177	0.013986014	-0.0984764828	0.0034965035
AT5G16280	A3:5:5326524-5326621:5326521-5326621:-	-0.2090374839	0.00999001	-0.2161332299	0.004995005
AT5G18620	A5:5:6196207-6196327:6196207-6196336:-	-0.3593029906	0.0004995005	-0.6212469963	0.0
AT5G20950	A3:5:7110819-7111196:7110797-7111196:-	-0.1824578125	0.002997003	-0.196676555	0.0
AT5G21930	RI:5:7248086:7248217-7248349:7248499:+	-0.0640021203	0.04995005	-0.0804929159	0.02997003
AT5G22875	A5:5:7650710-7651266:7650681-7651266:+	-0.1018075031	0.0374625375	-0.0673865707	0.0284715285
AT5G22875	RI:5:7650582:7650681-7651266:7651389:+	-0.0808455695	0.0374625375	-0.1027268456	0.018981019
AT5G26240	A5:5:9194106-9194278:9194101-9194278:+	-0.3151649856	0.002997003	-0.3001602906	0.000999001
AT5G28840	A3:5:10864044-10864726:10864025-10864726:-	-0.0495176527	0.0304695305	-0.0449345768	0.036963037
AT5G35330	A5:5:13525279-13525621:13525279-13525642:-	0.2350548509	0.016983017	0.2040284093	0.002997003
AT5G36170	A3:5:14237724-14237809:14237721-14237809:-	-0.1094697505	0.008991009	-0.1075934339	0.015984016
AT5G37850	A5:5:15065512-15065605:15065479-15065605:+	0.310312935	0.000999001	0.2374597902	0.000999001
AT5G37850	RI:5:15065300:15065479-15065605:15065701:+	0.2302677105	0.000999001	0.2560975999	0.000999001
AT5G40500	A5:5:16228049-16228120:16228022-16228120:+	0.1650555218	0.0024975025	0.1699479129	0.00999001
AT5G41340	RI:5:16539236:16539350-16539734:16539813:-	-0.0757907766	0.036963037	-0.0674568945	0.0254745255
AT5G42940	A5:5:17219258-17220362:17219258-17220386:-	0.1521845392	0.031968032	0.1224710115	0.0134865135
AT5G44290	A5:5:17843307-17843415:17843307-17843433:-	0.1606585688	0.021978022	0.1220427016	0.0066600067
AT5G44290	SE:5:17843307-17843433:17843493-17843577:-	-0.2048853722	0.023976024	-0.1628847573	0.0066600067
AT5G44750	A5:5:18056585-18056668:18056573-18056668:+	0.3925685282	0.001998002	0.1868430124	0.002997003
AT5G46430_and_AT5G06825	A3:5:18833301-18833415:18833301-18833419:+	0.0240783272	0.044955045	-0.0443170808	0.0194805195
AT5G46740	A5:5:18967717-18967803:18967717-18967823:-	0.3995714807	0.0074925075	0.3634940829	0.0234765235
AT5G48520	A3:5:19663794-19663927:19663794-19663930:+	-0.2127980463	0.0184815185	-0.1796938234	0.01998002
AT5G53760	RI:5:21822323:21822629-21822720:21822901:+	0.1928288576	0.0224775225	0.1617011846	0.0384615385
AT5G53850	SE:5:21863128-21863653:21863700-21864089:-	0.1802042444	0.014985015	0.1200077237	0.035964036
AT5G56180	RI:5:22740074:22740141-22740256:22740326:-	-0.2740198275	0.038961039	-0.1075056885	0.01998002
AT5G57860	A3:5:23437729-23437920:23437729-23437925:+	-0.253194622	0.013986014	-0.2851888239	0.001998002
AT5G58190_and_AT5G58200	RI:5:23549882:23549903-23550032:23550143:+	-0.1171171398	0.020979021	-0.0748633879	0.035964036
AT5G58330	A3:5:23582023-23582115:23582020-23582115:-	-0.1023346944	0.002997003	-0.0931640403	0.008991009
AT5G59970	RI:5:24145831:24146098-24146289:24146729:-	-0.1088498337	0.0064935065	-0.0844614853	0.031968032
AT5G60170	A3:5:24229555-24229700:24229555-24229706:+	0.2179275464	0.002997003	0.2133368552	0.000999001
AT5G60390	A5:5:24288724-24289224:24288720-24289224:+	0.0367282042	0.028971029	0.0463066653	0.023976024
AT5G60570	A3:5:24348026-24348368:24348026-24348380:+	-0.1465696533	0.0344655345	-0.1691196072	0.0014985015
AT5G60940	RI:5:24523578:24523687-24523780:24523849:+	-0.3127346889	0.0024975025	-0.3385247297	0.0014985015
AT5G61020	A3:5:24559247-24559363:24559241-24559363:-	0.1515165354	0.001998002	0.1224156576	0.001998002
AT5G61150	A5:5:24603983-24604075:24603983-24604081:-	0.2015948525	0.0014985015	0.2029647834	0.000999001
AT5G61410	A3:5:24683858-24684045:24683852-24684045:-	0.1087518456	0.0014985015	0.0752445229	0.006993007
AT5G61880	A5:5:24850431-24850548:24850426-24850548:+	-0.2875851957	0.006993007	-0.3334624486	0.001998002
AT5G62000	A3:5:24914720-24914814:24914720-24914817:+	0.1295023429	0.003996004	0.1186436611	0.015984016
AT5G63190	A5:5:25345811-25346145:25345802-25346145:+	0.1625966672	0.012987013	0.1082638942	0.006993007
AT5G63460	SE:5:25414326-25414413:25414448-25414574:-	0.2133715025	0.012987013	0.1962599506	0.006993007
AT5G63700	RI:5:25494357:25494407-25494578:25494637:-	-0.2810953055	0.001998002	-0.4010391958	0.003996004
AT5G65430	A3:5:26148566-26148687:26148560-26148687:-	0.0910924796	0.0124875125	0.0563445558	0.022977023
